HourOfDay,actual_mean,nb_mean,lin_mean
6,764.5380952380953,1297.8186955376414,476.19094606770136
7,2028.3960396039604,3256.17866752751,877.7746528267368
8,3901.252525252525,5582.629066406253,975.7936945376629
9,2627.305,3505.4996089511783,1042.7101358933878
10,1897.2524752475247,2353.5560260490083,679.9461963533324
11,2021.56,2323.6469615415645,715.5489518703824
12,2710.705,2608.092924542152,732.7324161784283
13,2752.75,2547.7208606552826,728.37730531019
14,2026.7347826086957,2319.8351016672614,721.9629524376593
15,2448.450643776824,2933.5237207203727,692.895113876431
16,2554.059071729958,3119.6439550140167,1048.5345344693899
17,3623.31718061674,4420.861714065482,1019.3264406590324
18,3618.1466666666665,4350.521297669869,942.2976213356154
19,2516.1327433628317,2815.589810143096,531.2499538424894
20,1826.2276785714287,2056.8434831461213,477.2453932172587
21,1449.1875,1620.2789857499781,417.72119978771104
